benchmark_version,dataset,split,item_id,track_id,genre,license,license_url,track_url,audio_relpath,source_sha256,source_sample_rate,source_channels,source_duration_sec,sample_rate,channels,start_a_sec,start_b_sec,duration_sec,adjacent_segments,target_lufs,input_lufs_a,input_lufs_b,input_peak_a,input_peak_b,input_rms_dbfs_a,input_rms_dbfs_b,active_ratio_a,active_ratio_b,selection_rank_sha256
pedalboard-fma-test-v0.1,fma_small,test,fma_test_068895,68895,Electronic,Attribution-NonCommercial 3.0 International,http://creativecommons.org/licenses/by-nc/3.0/,http://freemusicarchive.org/music/Broke_For_Free/Leaf/Broke_For_Free_-_Leaf_-_05_Luminous,fma/fma_small/068/068895.mp3,0037527b497b0c1a2ce827caf64878166e6c13667f33b2ca56e367cf6c7edb4b,44100,2,29.962448979591837,44100,2,5.0,15.0,10.0,True,-20.0,-10.659829816075282,-10.029489945959062,0.3256419897079468,0.3137896656990051,-21.270969877708744,-21.304603095608392,1.0,1.0,031b92155870f592c8b59a3a60ddc2311c6e93abed20455f60d917d3318319dc
pedalboard-fma-test-v0.1,fma_small,test,fma_test_036096,36096,Electronic,Attribution-NonCommercial 3.0 International,http://creativecommons.org/licenses/by-nc/3.0/,http://freemusicarchive.org/music/Exteenager/forthcoming_split_ep_with_Peter_Percept/your_name_is_rain_,fma/fma_small/036/036096.mp3,8434cd9716fc51ee0c65d854b2101393034281e23d6429a8d582319530ff831e,44100,2,29.98857142857143,44100,2,5.0,15.0,10.0,True,-20.0,-8.94776254751133,-8.362179778480634,0.28014838695526123,0.26188400387763977,-23.7069702846484,-23.76518564734644,1.0,1.0,043b05bb33724ae3d03a44fd5b96f140be2094cdc865a50222d719215fe2c209
pedalboard-fma-test-v0.1,fma_small,test,fma_test_108532,108532,Electronic,Attribution-Noncommercial-Share Alike 3.0 United States,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,http://freemusicarchive.org/music/Ghost_By_Nature/Funk_Therapy/Ghost_By_Nature_-_Funk_Therapy_-_09_Open_Box,fma/fma_small/108/108532.mp3,1b9ce0094b4c4c9ff3f8d79c0405bdf5db6bfa0ca3cedb9c352270c2333050fa,44100,2,29.962448979591837,44100,2,5.0,15.0,10.0,True,-20.0,-17.51553021078953,-10.266106741878511,0.4178445041179657,0.32606586813926697,-22.335422186922713,-20.457648364197475,1.0,1.0,04d137acf587543a17c4a9f9ab44fe998dfc584a93ec09da0c6d5dba1ac07051
pedalboard-fma-test-v0.1,fma_small,test,fma_test_063064,63064,Electronic,Attribution-NonCommercial-ShareAlike 3.0 International,http://creativecommons.org/licenses/by-nc-sa/3.0/,http://freemusicarchive.org/music/Koona/Underwater_Starkey/Koona_01_Underwater,fma/fma_small/063/063064.mp3,c8dd9b74dc2e35624870581b4f37f477582584f573adf1dd4ec6d57800267e36,44100,2,29.962448979591837,44100,2,5.0,15.0,10.0,True,-20.0,-6.506114436832973,-7.422430996027918,0.2114977389574051,0.23502905666828156,-23.510677297707833,-23.98039826367412,1.0,1.0,06bcd1f07bf22adca7ddb0c543144f5b1c0ffe9cb55a65b34b4d412ecfb173cc
pedalboard-fma-test-v0.1,fma_small,test,fma_test_140922,140922,Electronic,Creative Commons Attribution,http://creativecommons.org/licenses/by/3.0/,http://freemusicarchive.org/music/Nihilore/The_Hermeneutic_Circle/Nihilore_-_The_Hermeneutic_Circle_-_01_Morning_Bell,fma/fma_small/140/140922.mp3,a99f217b3439e4a1226bdbfc13090891dad715a81043cfc1355d085da3b44739,44100,2,29.962448979591837,44100,2,5.0,15.0,10.0,True,-20.0,-14.330161507826555,-13.676592741781995,0.3769354224205017,0.37516939640045166,-22.11619166262041,-22.14008760369827,1.0,1.0,099228f44008ef2729033da642b7a04c2ba99b95f5875861c9211a8cb89f4825
pedalboard-fma-test-v0.1,fma_small,test,fma_test_026905,26905,Electronic,Attribution-NonCommercial-ShareAlike 3.0 International,http://creativecommons.org/licenses/by-nc-sa/3.0/,http://freemusicarchive.org/music/Goto80/Constant_Hitmaker/Viking_Conquistador,fma/fma_small/026/026905.mp3,45bf4780601036c2d34ef6a1f2885cb4bba347180cc60c1f78008b0ed1536564,44100,2,29.98857142857143,44100,2,5.0,15.0,10.0,True,-20.0,-12.058204482738494,-11.4901078589224,0.2880586087703705,0.3109932541847229,-22.187715466708266,-22.166773101345633,1.0,0.9900000095367432,09f028751af09daf8ba1cba617ccc45e1209a4704d2da5bd97e637cf286f87d5
pedalboard-fma-test-v0.1,fma_small,test,fma_test_039605,39605,Electronic,Creative Commons Attribution,http://creativecommons.org/licenses/by/3.0/,http://freemusicarchive.org/music/UltraCat/Disco_High/ultracat_-_01_-_disco_high,fma/fma_small/039/039605.mp3,02b7894ab8021cfa23df98d55a2061f72055e24caccf15a72e7b62914b654f67,44100,2,29.98857142857143,44100,2,5.0,15.0,10.0,True,-20.0,-14.448552927882,-14.968949076020897,0.5277493000030518,0.5600659847259521,-21.21689458465535,-21.12797650252894,1.0,1.0,0c1be7fb658ac46fb9faee19a2a4c465f0244437309a22b63ff4b99568810d0a
pedalboard-fma-test-v0.1,fma_small,test,fma_test_026859,26859,Electronic,Attribution-Noncommercial-Share Alike 3.0 United States,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,http://freemusicarchive.org/music/I_Cactus/I_Cactus/8bp033-05-i-cactus-ruby-cactus,fma/fma_small/026/026859.mp3,942780ee05806bc38ed0235fa89ef741e41570eb325d10de25b56e9c584e6990,44100,2,29.962448979591837,44100,2,5.0,15.0,10.0,True,-20.0,-15.008952563070276,-14.648574210420064,0.5629212260246277,0.5400434732437134,-22.670594741369605,-22.710043333538927,1.0,1.0,0da578c860ead13b2cd15b631b0867c03a632e6b13eea4f50e7d316ea88d2ff8
pedalboard-fma-test-v0.1,fma_small,test,fma_test_094803,94803,Electronic,Attribution-NonCommercial-ShareAlike 3.0 International,http://creativecommons.org/licenses/by-nc-sa/3.0/,http://freemusicarchive.org/music/Goto80/Open_Funk_Sores/00_goto80_-_this_machine_thinks,fma/fma_small/094/094803.mp3,fc9f18484c5712cf52ce2e5e600e35ca58cf9dd67b522e9d2c1905b19f2a13b8,44100,1,29.962448979591837,44100,2,5.0,15.0,10.0,True,-20.0,-14.944989391052074,-15.521520932410008,0.3794237971305847,0.47694504261016846,-19.713149322042398,-19.369304347023512,1.0,1.0,10d79bee07e0e6d7ffba6193b19dce8aba385963870aa7b14f6b5100021f8a6f
pedalboard-fma-test-v0.1,fma_small,test,fma_test_039607,39607,Electronic,Creative Commons Attribution,http://creativecommons.org/licenses/by/3.0/,http://freemusicarchive.org/music/UltraCat/Disco_High/ultracat_-_03_-_unexpected_little_happenings,fma/fma_small/039/039607.mp3,ddf0945776a18e412f41f73622a8bcbf65bd415e9a702e52260fe687683a32ef,44100,2,29.988004535147393,44100,2,5.0,15.0,10.0,True,-20.0,-13.390754742088882,-9.93789870591289,0.43538329005241394,0.31397491693496704,-22.372055237572454,-22.078417123936692,1.0,1.0,115f0827725e3a42122603b499d897e813259940f953ac8f698057aae426430b
