effect,parameter,minimum,maximum,distribution,fixed
highpass_filter,cutoff_frequency_hz,30.0,1200.0,log,
lowpass_filter,cutoff_frequency_hz,2000.0,18000.0,log,
peak_filter,cutoff_frequency_hz,80.0,12000.0,log,
peak_filter,gain_db,-12.0,12.0,linear,
peak_filter,q,0.3,6.0,log,
compressor,attack_ms,0.1,100.0,log,
compressor,ratio,1.5,12.0,log,
compressor,release_ms,20.0,500.0,log,
compressor,threshold_db,-40.0,-6.0,linear,
distortion,drive_db,0.0,30.0,linear,
chorus,centre_delay_ms,3.0,30.0,log,
chorus,depth,0.05,0.8,linear,
chorus,feedback,-0.7,0.7,linear,
chorus,mix,0.1,0.8,linear,
chorus,rate_hz,0.1,8.0,log,
delay,delay_seconds,0.03,1.5,log,
delay,feedback,0.0,0.7,linear,
delay,mix,0.1,0.7,linear,
reverb,damping,0.1,0.9,linear,
reverb,dry_level,,,linear,0.5
reverb,freeze_mode,,,linear,0.0
reverb,room_size,0.2,0.9,linear,
reverb,wet_level,0.1,0.6,linear,
reverb,width,0.0,1.0,linear,
