encoder,topology,subset,n_items,budget,selected_ld_mean,oracle_ld_mean,oracle_gap_mean
relativefx,known,all_200,200,1,0.8317003800114616,0.8317003800114616,0.0
relativefx,known,all_200,200,16,0.7685387707175687,0.6726575779670384,0.09588119289837778
relativefx,known,all_200,200,512,0.7075040739402175,0.5104654140291678,0.19703865939751267
relativefx,known,valid_center,196,1,0.8140312526137473,0.8140312526137473,0.0
relativefx,known,valid_center,196,16,0.7639412118587643,0.6701824406330588,0.09375877137657027
relativefx,known,valid_center,196,512,0.702726645699265,0.5080957475333054,0.19463089771796854
relativefx,known,common_valid_center,194,1,0.8188192646364806,0.8188192646364806,0.0
relativefx,known,common_valid_center,194,16,0.7683195793261924,0.6743732613749015,0.09394631810371101
relativefx,known,common_valid_center,194,512,0.707041517168898,0.5120347266734431,0.1950067900236427
relativefx,unknown,all_200,200,1,0.9461373068764806,0.9461373068764806,0.0
relativefx,unknown,all_200,200,16,0.8884595099650323,0.7099719822406769,0.17848752794787287
relativefx,unknown,all_200,200,512,0.8648863025754691,0.5522747142805019,0.3126115877367556
relativefx,unknown,valid_center,199,1,0.939000837954145,0.939000837954145,0.0
relativefx,unknown,valid_center,199,16,0.8850300507292376,0.7060314249153712,0.178998626038507
relativefx,unknown,valid_center,199,512,0.8634651134810855,0.5492826126821236,0.31418250023794536
relativefx,unknown,common_valid_center,198,1,0.9416487486750791,0.9416487486750791,0.0
relativefx,unknown,common_valid_center,198,16,0.8844237879031536,0.7076151252093942,0.17680866307005136
relativefx,unknown,common_valid_center,198,512,0.863376163096741,0.5506096045972281,0.3127665580861797
fxencoderpp,known,all_200,200,1,0.9873819799721241,0.9873819799721241,0.0
fxencoderpp,known,all_200,200,16,0.9152897000871598,0.7640281066857278,0.15126159317791463
fxencoderpp,known,all_200,200,512,0.8363172594644129,0.5557322477207345,0.28058501115068796
fxencoderpp,known,valid_center,197,1,0.9754898458870535,0.9754898458870535,0.0
fxencoderpp,known,valid_center,197,16,0.9107290322367613,0.7649551388538126,0.14577389315602743
fxencoderpp,known,valid_center,197,512,0.8412543521428169,0.5574151519055155,0.2838391996541907
fxencoderpp,known,common_valid_center,194,1,0.9719763230724433,0.9719763230724433,0.0
fxencoderpp,known,common_valid_center,194,16,0.9090580467672384,0.7632586996541503,0.14579934688265792
fxencoderpp,known,common_valid_center,194,512,0.8332977827792007,0.5557960348100864,0.2775017475306066
fxencoderpp,unknown,all_200,200,1,1.292322099506855,1.292322099506855,0.0
fxencoderpp,unknown,all_200,200,16,1.1537362587824465,0.8805974716320634,0.2731387863308191
fxencoderpp,unknown,all_200,200,512,1.07618153299205,0.6430986612057313,0.4330828720331192
fxencoderpp,unknown,valid_center,200,1,1.292322099506855,1.292322099506855,0.0
fxencoderpp,unknown,valid_center,200,16,1.1537362587824465,0.8805974716320634,0.2731387863308191
fxencoderpp,unknown,valid_center,200,512,1.07618153299205,0.6430986612057313,0.4330828720331192
fxencoderpp,unknown,common_valid_center,198,1,1.2870264164727143,1.2870264164727143,0.0
fxencoderpp,unknown,common_valid_center,198,16,1.1506120111379359,0.8781951317055658,0.2724168786045277
fxencoderpp,unknown,common_valid_center,198,512,1.074779933704195,0.6416973496241627,0.4330825843293257
afxrep,known,all_200,200,1,1.1300485755689442,1.1300485755689442,0.0
afxrep,known,all_200,200,16,1.131932113096118,0.7906224899820518,0.3413096212595701
afxrep,known,all_200,200,512,0.9848710315488279,0.5477221197099424,0.4371489121392369
afxrep,known,valid_center,199,1,1.1226581139068808,1.1226581139068808,0.0
afxrep,known,valid_center,199,16,1.1279277117857383,0.7849029649374305,0.3430247449844926
afxrep,known,valid_center,199,512,0.9829234213348309,0.5454383801186841,0.4374850415180077
afxrep,known,common_valid_center,194,1,1.1272509668176014,1.1272509668176014,0.0
afxrep,known,common_valid_center,194,16,1.1323728311768513,0.7878906632444735,0.34448216617414634
afxrep,known,common_valid_center,194,512,0.9812395233737746,0.5469746507881882,0.4342648729912399
afxrep,unknown,all_200,200,1,1.4271336908638477,1.4271336908638477,0.0
afxrep,unknown,all_200,200,16,1.4415059857070447,0.9414199138432742,0.5000860707834363
afxrep,unknown,all_200,200,512,1.3035042225942015,0.6252939773805337,0.6782102434150875
afxrep,unknown,valid_center,199,1,1.427956410538611,1.427956410538611,0.0
afxrep,unknown,valid_center,199,16,1.4425797796429103,0.9415972287481155,0.5009825498090318
afxrep,unknown,valid_center,199,512,1.3076835627756527,0.626065225877494,0.6816183350905402
afxrep,unknown,common_valid_center,198,1,1.4238860409970235,1.4238860409970235,0.0
afxrep,unknown,common_valid_center,198,16,1.4389773015723084,0.9391406642818692,0.49983663619919255
afxrep,unknown,common_valid_center,198,512,1.3031041396010403,0.6231500727367117,0.6799540650475808
