encoder,topology,subset,contrast,n,delta_mean,ci95_low,ci95_high,improved,unchanged,worsened
relativefx,known,all_200,N16_minus_N1,200,-0.06316160929389297,-0.09509389861789531,-0.03466288181208076,122,15,63
relativefx,known,all_200,N512_minus_N1,200,-0.12419630607124418,-0.17138021801866124,-0.08301397698745137,129,0,71
relativefx,known,all_200,N512_minus_N16,200,-0.061034696777351204,-0.0942629566086689,-0.03137586293125062,116,7,77
relativefx,known,valid_center,N16_minus_N1,196,-0.05009004075498301,-0.07698773201982663,-0.02563767833397632,118,15,63
relativefx,known,valid_center,N512_minus_N1,196,-0.11130460691448225,-0.1539273620864652,-0.0723067406036331,125,0,71
relativefx,known,valid_center,N512_minus_N16,196,-0.06121456615949924,-0.09487151563017894,-0.030858399071706937,114,7,75
relativefx,known,common_valid_center,N16_minus_N1,194,-0.050499685310288187,-0.07826283024840018,-0.02543761460134551,117,14,63
relativefx,known,common_valid_center,N512_minus_N1,194,-0.11177774746758268,-0.1549231603302388,-0.07286320207592531,123,0,71
relativefx,known,common_valid_center,N512_minus_N16,194,-0.06127806215729449,-0.09432556998769552,-0.030971784878416543,112,7,75
relativefx,unknown,all_200,N16_minus_N1,200,-0.05767779691144824,-0.1017287642438896,-0.014073423856403708,95,36,69
relativefx,unknown,all_200,N512_minus_N1,200,-0.08125100430101156,-0.1305911299660802,-0.032966481625102496,119,0,81
relativefx,unknown,all_200,N512_minus_N16,200,-0.02357320738956332,-0.07797592605743557,0.027781083214562373,108,2,90
relativefx,unknown,valid_center,N16_minus_N1,199,-0.05397078722490737,-0.09773460026484114,-0.010651468648926268,94,36,69
relativefx,unknown,valid_center,N512_minus_N1,199,-0.07553572447305948,-0.12428640875984077,-0.027526513219403866,118,0,81
relativefx,unknown,valid_center,N512_minus_N16,199,-0.021564937248152106,-0.07614372103198913,0.03009540579801228,107,2,90
relativefx,unknown,common_valid_center,N16_minus_N1,198,-0.05722496077192552,-0.10080549346348928,-0.014710297343800945,94,36,68
relativefx,unknown,common_valid_center,N512_minus_N1,198,-0.07827258557833806,-0.12688218376251184,-0.030583821296353248,118,0,80
relativefx,unknown,common_valid_center,N512_minus_N16,198,-0.021047624806412542,-0.07557630612505506,0.03051368350708718,106,2,90
fxencoderpp,known,all_200,N16_minus_N1,200,-0.07209227988496422,-0.11677120226621628,-0.028759404756594487,125,3,72
fxencoderpp,known,all_200,N512_minus_N1,200,-0.15106472050771116,-0.22047131750267,-0.08976263054320595,135,0,65
fxencoderpp,known,all_200,N512_minus_N16,200,-0.07897244062274694,-0.1315867865309119,-0.030848802137188668,122,5,73
fxencoderpp,known,valid_center,N16_minus_N1,197,-0.06476081365029218,-0.10451293769505272,-0.02504540791659413,124,3,70
fxencoderpp,known,valid_center,N512_minus_N1,197,-0.13423549374423657,-0.1996149969145391,-0.07578032270575012,132,0,65
fxencoderpp,known,valid_center,N512_minus_N16,197,-0.06947468009394438,-0.11907100241423259,-0.02271113716311715,119,5,73
fxencoderpp,known,common_valid_center,N16_minus_N1,194,-0.06291827630520481,-0.1026745854219249,-0.02313585236630187,123,3,68
fxencoderpp,known,common_valid_center,N512_minus_N1,194,-0.1386785402932425,-0.20424480971534612,-0.0785051699756578,130,0,64
fxencoderpp,known,common_valid_center,N512_minus_N16,194,-0.0757602639880377,-0.12490762120170384,-0.030030591042769953,117,5,72
fxencoderpp,unknown,all_200,N16_minus_N1,200,-0.13858584072440863,-0.22052019318193197,-0.05285912246722744,127,17,56
fxencoderpp,unknown,all_200,N512_minus_N1,200,-0.21614056651480495,-0.29523606872418895,-0.13647252809675411,130,0,70
fxencoderpp,unknown,all_200,N512_minus_N16,200,-0.07755472579039634,-0.14705948580848052,-0.01717208801861857,115,8,77
fxencoderpp,unknown,valid_center,N16_minus_N1,200,-0.13858584072440863,-0.22052019318193197,-0.05285912246722744,127,17,56
fxencoderpp,unknown,valid_center,N512_minus_N1,200,-0.21614056651480495,-0.29523606872418895,-0.13647252809675411,130,0,70
fxencoderpp,unknown,valid_center,N512_minus_N16,200,-0.07755472579039634,-0.14705948580848052,-0.01717208801861857,115,8,77
fxencoderpp,unknown,common_valid_center,N16_minus_N1,198,-0.1364144053347785,-0.2184417952576445,-0.04952766208749529,125,17,56
fxencoderpp,unknown,common_valid_center,N512_minus_N1,198,-0.21224648276851935,-0.2945867232771383,-0.13108677140535846,128,0,70
fxencoderpp,unknown,common_valid_center,N512_minus_N16,198,-0.07583207743374085,-0.14534838478283185,-0.014045763566074057,114,8,76
afxrep,known,all_200,N16_minus_N1,200,0.0018835375271737576,-0.06659080056194217,0.06985354654863468,113,7,80
afxrep,known,all_200,N512_minus_N1,200,-0.14517754402011632,-0.24225246606580914,-0.04827921769721461,126,0,74
afxrep,known,all_200,N512_minus_N16,200,-0.14706108154729008,-0.2442644799570553,-0.05168253104574981,116,6,78
afxrep,known,valid_center,N16_minus_N1,199,0.005269597878857474,-0.06421538504570648,0.07343516029398789,112,7,80
afxrep,known,valid_center,N512_minus_N1,199,-0.13973469257204976,-0.2364043344102388,-0.042149208108871246,125,0,74
afxrep,known,valid_center,N512_minus_N16,199,-0.14500429045090724,-0.24114138912222344,-0.046649872751241966,115,6,78
afxrep,known,common_valid_center,N16_minus_N1,194,0.0051218643592497734,-0.06501281388804854,0.07524752062073303,109,7,78
afxrep,known,common_valid_center,N512_minus_N1,194,-0.1460114434438268,-0.24494120776413258,-0.048912681991561034,123,0,71
afxrep,known,common_valid_center,N512_minus_N16,194,-0.15113330780307657,-0.2493395510931336,-0.05236716183315344,114,6,74
afxrep,unknown,all_200,N16_minus_N1,200,0.014372294843196869,-0.12084729414619506,0.16258704231772556,101,22,77
afxrep,unknown,all_200,N512_minus_N1,200,-0.12362946826964617,-0.2784743519369513,0.030797980893403278,121,0,79
afxrep,unknown,all_200,N512_minus_N16,200,-0.13800176311284304,-0.29793802883755416,0.010526768114417768,111,8,81
afxrep,unknown,valid_center,N16_minus_N1,199,0.014623369104299113,-0.12211842698105914,0.16502372783107966,100,22,77
afxrep,unknown,valid_center,N512_minus_N1,199,-0.12027284776295849,-0.2746294039399854,0.03354520501765466,120,0,79
afxrep,unknown,valid_center,N512_minus_N16,199,-0.1348962168672576,-0.2985904620230273,0.014220388186861293,110,8,81
afxrep,unknown,common_valid_center,N16_minus_N1,198,0.015091260575284862,-0.12383381958693417,0.1701766919344663,99,22,77
afxrep,unknown,common_valid_center,N512_minus_N1,198,-0.12078190139598316,-0.279170488389303,0.035485146253962215,119,0,79
afxrep,unknown,common_valid_center,N512_minus_N16,198,-0.13587316197126803,-0.3010458632193581,0.013443501746149833,110,8,80
