encoder,id,song,stem,domain,condition,cosine_distance
relativefx,history_000_bass,Timboz - Pony,bass,input,identity,-3.5762786865234375e-07
relativefx,history_000_bass,Timboz - Pony,bass,input,gain_minus6,0.1623665690422058
relativefx,history_000_bass,Timboz - Pony,bass,input,gain_plus6,0.21787190437316895
relativefx,history_000_bass,Timboz - Pony,bass,input,eq_minus6,0.06870073080062866
relativefx,history_000_bass,Timboz - Pony,bass,input,eq_plus6,0.054891228675842285
relativefx,history_000_bass,Timboz - Pony,bass,input,comp_ratio2,0.09378784894943237
relativefx,history_000_bass,Timboz - Pony,bass,input,comp_ratio4,0.17620474100112915
relativefx,history_000_bass,Timboz - Pony,bass,input,identity_repeat,-3.5762786865234375e-07
relativefx,history_000_bass,Timboz - Pony,bass,normalized,identity,-1.1920928955078125e-07
relativefx,history_000_bass,Timboz - Pony,bass,normalized,gain_minus6,2.1457672119140625e-06
relativefx,history_000_bass,Timboz - Pony,bass,normalized,gain_plus6,2.0742416381835938e-05
relativefx,history_000_bass,Timboz - Pony,bass,normalized,eq_minus6,0.09791582822799683
relativefx,history_000_bass,Timboz - Pony,bass,normalized,eq_plus6,0.00020492076873779297
relativefx,history_000_bass,Timboz - Pony,bass,normalized,comp_ratio2,0.010073721408843994
relativefx,history_000_bass,Timboz - Pony,bass,normalized,comp_ratio4,0.01820307970046997
relativefx,history_000_bass,Timboz - Pony,bass,normalized,identity_repeat,-1.1920928955078125e-07
relativefx,history_000_drums,Cristina Vane - So Easy,drums,input,identity,-3.5762786865234375e-07
relativefx,history_000_drums,Cristina Vane - So Easy,drums,input,gain_minus6,0.10344099998474121
relativefx,history_000_drums,Cristina Vane - So Easy,drums,input,gain_plus6,0.1865314245223999
relativefx,history_000_drums,Cristina Vane - So Easy,drums,input,eq_minus6,0.12419396638870239
relativefx,history_000_drums,Cristina Vane - So Easy,drums,input,eq_plus6,0.1322804093360901
relativefx,history_000_drums,Cristina Vane - So Easy,drums,input,comp_ratio2,0.17088478803634644
relativefx,history_000_drums,Cristina Vane - So Easy,drums,input,comp_ratio4,0.21399539709091187
relativefx,history_000_drums,Cristina Vane - So Easy,drums,input,identity_repeat,-3.5762786865234375e-07
relativefx,history_000_drums,Cristina Vane - So Easy,drums,normalized,identity,-3.5762786865234375e-07
relativefx,history_000_drums,Cristina Vane - So Easy,drums,normalized,gain_minus6,-2.384185791015625e-07
relativefx,history_000_drums,Cristina Vane - So Easy,drums,normalized,gain_plus6,-1.1920928955078125e-07
relativefx,history_000_drums,Cristina Vane - So Easy,drums,normalized,eq_minus6,0.0010687708854675293
relativefx,history_000_drums,Cristina Vane - So Easy,drums,normalized,eq_plus6,4.929304122924805e-05
relativefx,history_000_drums,Cristina Vane - So Easy,drums,normalized,comp_ratio2,0.07592231035232544
relativefx,history_000_drums,Cristina Vane - So Easy,drums,normalized,comp_ratio4,0.11395370960235596
relativefx,history_000_drums,Cristina Vane - So Easy,drums,normalized,identity_repeat,-3.5762786865234375e-07
relativefx,history_000_vocals,Tom McKenzie - Directions,vocals,input,identity,-3.5762786865234375e-07
relativefx,history_000_vocals,Tom McKenzie - Directions,vocals,input,gain_minus6,0.147438645362854
relativefx,history_000_vocals,Tom McKenzie - Directions,vocals,input,gain_plus6,0.2179863452911377
relativefx,history_000_vocals,Tom McKenzie - Directions,vocals,input,eq_minus6,0.09063619375228882
relativefx,history_000_vocals,Tom McKenzie - Directions,vocals,input,eq_plus6,0.10412049293518066
relativefx,history_000_vocals,Tom McKenzie - Directions,vocals,input,comp_ratio2,0.1142759919166565
relativefx,history_000_vocals,Tom McKenzie - Directions,vocals,input,comp_ratio4,0.1636332869529724
relativefx,history_000_vocals,Tom McKenzie - Directions,vocals,input,identity_repeat,-3.5762786865234375e-07
relativefx,history_000_vocals,Tom McKenzie - Directions,vocals,normalized,identity,-2.384185791015625e-07
relativefx,history_000_vocals,Tom McKenzie - Directions,vocals,normalized,gain_minus6,-1.1920928955078125e-07
relativefx,history_000_vocals,Tom McKenzie - Directions,vocals,normalized,gain_plus6,-2.384185791015625e-07
relativefx,history_000_vocals,Tom McKenzie - Directions,vocals,normalized,eq_minus6,0.0005357861518859863
relativefx,history_000_vocals,Tom McKenzie - Directions,vocals,normalized,eq_plus6,0.00018602609634399414
relativefx,history_000_vocals,Tom McKenzie - Directions,vocals,normalized,comp_ratio2,0.0103529691696167
relativefx,history_000_vocals,Tom McKenzie - Directions,vocals,normalized,comp_ratio4,0.02329045534133911
relativefx,history_000_vocals,Tom McKenzie - Directions,vocals,normalized,identity_repeat,-2.384185791015625e-07
relativefx,history_000_other,Bobby Nobody - Stitch Up,other,input,identity,-3.5762786865234375e-07
relativefx,history_000_other,Bobby Nobody - Stitch Up,other,input,gain_minus6,0.19700103998184204
relativefx,history_000_other,Bobby Nobody - Stitch Up,other,input,gain_plus6,0.3072018027305603
relativefx,history_000_other,Bobby Nobody - Stitch Up,other,input,eq_minus6,0.09043151140213013
relativefx,history_000_other,Bobby Nobody - Stitch Up,other,input,eq_plus6,0.0853758454322815
relativefx,history_000_other,Bobby Nobody - Stitch Up,other,input,comp_ratio2,0.19511383771896362
relativefx,history_000_other,Bobby Nobody - Stitch Up,other,input,comp_ratio4,0.29408568143844604
relativefx,history_000_other,Bobby Nobody - Stitch Up,other,input,identity_repeat,-3.5762786865234375e-07
relativefx,history_000_other,Bobby Nobody - Stitch Up,other,normalized,identity,-2.384185791015625e-07
relativefx,history_000_other,Bobby Nobody - Stitch Up,other,normalized,gain_minus6,-1.1920928955078125e-07
relativefx,history_000_other,Bobby Nobody - Stitch Up,other,normalized,gain_plus6,-2.384185791015625e-07
relativefx,history_000_other,Bobby Nobody - Stitch Up,other,normalized,eq_minus6,0.002218961715698242
relativefx,history_000_other,Bobby Nobody - Stitch Up,other,normalized,eq_plus6,0.004671812057495117
relativefx,history_000_other,Bobby Nobody - Stitch Up,other,normalized,comp_ratio2,0.06314855813980103
relativefx,history_000_other,Bobby Nobody - Stitch Up,other,normalized,comp_ratio4,0.1133841872215271
relativefx,history_000_other,Bobby Nobody - Stitch Up,other,normalized,identity_repeat,-2.384185791015625e-07
relativefx,history_001_bass,Raft Monk - Tiring,bass,input,identity,-2.384185791015625e-07
relativefx,history_001_bass,Raft Monk - Tiring,bass,input,gain_minus6,0.13768792152404785
relativefx,history_001_bass,Raft Monk - Tiring,bass,input,gain_plus6,0.25271373987197876
relativefx,history_001_bass,Raft Monk - Tiring,bass,input,eq_minus6,0.03852623701095581
relativefx,history_001_bass,Raft Monk - Tiring,bass,input,eq_plus6,0.04469245672225952
relativefx,history_001_bass,Raft Monk - Tiring,bass,input,comp_ratio2,0.10339176654815674
relativefx,history_001_bass,Raft Monk - Tiring,bass,input,comp_ratio4,0.1662408709526062
relativefx,history_001_bass,Raft Monk - Tiring,bass,normalized,identity,-1.1920928955078125e-07
relativefx,history_001_bass,Raft Monk - Tiring,bass,normalized,gain_minus6,6.556510925292969e-07
relativefx,history_001_bass,Raft Monk - Tiring,bass,normalized,gain_plus6,5.960464477539062e-07
relativefx,history_001_bass,Raft Monk - Tiring,bass,normalized,eq_minus6,0.0001996755599975586
relativefx,history_001_bass,Raft Monk - Tiring,bass,normalized,eq_plus6,4.0531158447265625e-05
relativefx,history_001_bass,Raft Monk - Tiring,bass,normalized,comp_ratio2,0.14118266105651855
relativefx,history_001_bass,Raft Monk - Tiring,bass,normalized,comp_ratio4,0.1485692858695984
relativefx,history_001_drums,Moosmusic - Big Dummy Shake,drums,input,identity,-1.1920928955078125e-07
relativefx,history_001_drums,Moosmusic - Big Dummy Shake,drums,input,gain_minus6,0.1627323031425476
relativefx,history_001_drums,Moosmusic - Big Dummy Shake,drums,input,gain_plus6,0.21378928422927856
relativefx,history_001_drums,Moosmusic - Big Dummy Shake,drums,input,eq_minus6,0.08606284856796265
relativefx,history_001_drums,Moosmusic - Big Dummy Shake,drums,input,eq_plus6,0.08423054218292236
relativefx,history_001_drums,Moosmusic - Big Dummy Shake,drums,input,comp_ratio2,0.10647737979888916
relativefx,history_001_drums,Moosmusic - Big Dummy Shake,drums,input,comp_ratio4,0.16551315784454346
relativefx,history_001_drums,Moosmusic - Big Dummy Shake,drums,normalized,identity,-1.1920928955078125e-07
relativefx,history_001_drums,Moosmusic - Big Dummy Shake,drums,normalized,gain_minus6,7.152557373046875e-07
relativefx,history_001_drums,Moosmusic - Big Dummy Shake,drums,normalized,gain_plus6,0.0
relativefx,history_001_drums,Moosmusic - Big Dummy Shake,drums,normalized,eq_minus6,0.0011991262435913086
relativefx,history_001_drums,Moosmusic - Big Dummy Shake,drums,normalized,eq_plus6,0.001009225845336914
relativefx,history_001_drums,Moosmusic - Big Dummy Shake,drums,normalized,comp_ratio2,0.13616043329238892
relativefx,history_001_drums,Moosmusic - Big Dummy Shake,drums,normalized,comp_ratio4,0.13850706815719604
relativefx,history_001_vocals,Raft Monk - Tiring,vocals,input,identity,-3.5762786865234375e-07
